"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
"The Himalayan monal ( "" Lophophorus impejanus "" ) was also named Impeyan pheasant , in her honour ."	monal	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
Causes of death of adult ibis are not well known .	ibis	Cockchafer soup Cockchafer soup is a European dish made from the cockchafer insect .	insect	0
Viewers may also spot a barracuda , sea turtle or reef squid .	barracuda	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	0
Ragtime ( yacht ) Ragtime was one of the world 's fastest yachts in the 1970s .	yacht	The weapon is primarily designed to engage targets in shallow water , especially midget submarines , swimmer delivery vehicle , human torpedo and other special operation uses .	vehicle	1
Lipophrys pholis Lipophrys pholis , commonly known as shanny , is a species of combtooth blenny .	shanny	The refurbishment programme included GB1 ; a fish restaurant which opened on 6 February 2013 , deluxe sea facing bedrooms and The Spa at The Grand .	fish	1
"As to the rest of the community , the charterhouse was "" surrendered "" and they were expelled ."	charterhouse	As MultiEx Commander was pirated on , and cracks and registration numbers released , it is currently an on-line only tool .	tool	0
They are also the largest shanks apart from the willet , which is altogether more robustly built .	willet	As the insect grows , the hemolymph works something like a hydraulic system , enabling the insect to expand segments before they are sclerotized .	insect	0
"and the conger eel ( "" Conger oceanicus "" ) ."	conger	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	0
Crossosalarias macrospilus Crossosalarias macrospilus , the Triplespot blenny , is a species combtooth blenny from the Western Pacific .	blenny	Boats can be hired from 8.30 am and the most common species of fish are trout .	fish	1
In 1931 Cunningham established libraries were established in Shelby County schools , and a bookmobile began to service up to fifteen rural communities .	bookmobile	GSA contributes to the management of U.S. Federal property , including a 215,000 vehicle motor pool .	vehicle	1
Petryk would soon leave the Lukowich rink , and after playing for his brother Dan for a few years , began to skip his own team in 2001 .	rink	The building employs a classical style of architecture reflecting Greek and Roman influences .	building	1
A $ 300,000 funding drive in 1954 financed the additions of a cafeteria and south annex to the school .	cafeteria	Discovery Offices , which will be the 5th tallest building in Mumbai and the tallest building outside South Mumbai , is located on LBS Marg .	building	1
In 2010 , the center obtained an owl as part of a program to teach children about environmental threats to the owl species .	owl	"Referred to as "" Newfoundland Currency "" this discovery yielded some 200 million tons of fish over five centuries ."	fish	0
Commonly observed species include greater and lesser yellowlegs , long-billed dowitchers , dunlins , western sandpipers , Wilson 's plovers , killdeer and willets .	yellowlegs	Automeris patagoniensis Automeris patagoniensis , the Patagonia eyed silkmoth , is a species of insect in the family Saturniidae .	insect	0
The Chinese restaurant of Okura Hotel in Tokyo was named by Kosaka .	restaurant	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	1
"The genus "" Contopus "" was introduced by the German ornithologist Jean Cabanis in 1855 with the eastern wood pewee as the type species ."	pewee	Unlike mammals , the red blood cells of fish have DNA , and can become infected with viruses .	fish	0
It has been identified as the galleon San Juan , of the fleet that carried conquistador Tristan de Luna and his army to La Florida in 1559 .	galleon	The Clinic building is also home to the University 's Faculty of Medicine and Health Sciences .	building	0
The first girih patterns were made by copying a pattern template on a regular grid ; the pattern was drawn with compass and straightedge .	straightedge	The listing includes the courthouse and also a sheriff 's residence/jail building to its north , which is a two-story brick building .	building	0
"Birds found on the islands include Atlantic puffin , storm-petrel , red-throated diver , northern gannet and great skua ( locally called the "" bonxie "" ) ."	skua	His collection of Siberian bird specimens had then grown to some 4500 .	bird	1
Some , more expensive , jointer models contain a spiral , or helical , cutting head .	jointer	Mulford Building Mulford Building is a historic light manufacturing loft building located in the Spring Garden neighborhood of Philadelphia , Pennsylvania .	building	0
The Pohnpei lorikeet is long and weights around .	lorikeet	The refurbishment programme included GB1 ; a fish restaurant which opened on 6 February 2013 , deluxe sea facing bedrooms and The Spa at The Grand .	fish	0
It is an oceanic yacht racing armed as ketch of the Italian Navy 's sail section .	ketch	The mounds are on private property but can be observed some five miles in the distance by vehicle .	vehicle	1
This museum has the most comprehensive collection of wildfowl carvings in the world , ranging from art sculptures to working decoys used by hunters .	wildfowl	"Tarnished plant bug The tarnished plant bug ( TPB ) , "" Lygus lineolaris "" , is a species of plant-feeding insect in the family Miridae ."	insect	0
"Linnaeus originally classified the Atlantic canary as a subspecies of the European serin and assigned them to the genus "" Fringilla "" ."	serin	For the wealthy , the dye used was kermes , made from a tiny scale insect which fed on the branches and leaves of the oak tree .	insect	0
The Alpine chough pairs for life and displays fidelity to its breeding site , which is usually a cave or crevice in a cliff face .	chough	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	1
After stocking up on supplies , he returns to his snowplow .	snowplow	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	0
A jet ski , kayak and small fishing boat launch is available on the sound side as well .	kayak	Generally about two pages , it was primarily a vehicle for Harleston 's work .	vehicle	1
"Taylor had taken a job painting a houseboat and his foreman happened to be "" Fast "" Eddie Clarke ."	houseboat	Several Services Québec offices are located in the same building as service centres for the Société de l’assurance automobile du Québec .	building	0
Then , as he turned to get the next projectile out of the hoist , the projectile man would pull down on the rammer lever .	rammer	The features which facilitate swimming on the back also facilitate tool use .	tool	1
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	The weapon is primarily designed to engage targets in shallow water , especially midget submarines , swimmer delivery vehicle , human torpedo and other special operation uses .	vehicle	0
